MUTUALIA
"GEZE IBERIA, S.R.L.U."
SOLIMAT
IBERMUTUA
"PRIMONIAL REIM SPAIN, S.L."
"ROMANO SENIOR, S.A."
DIPUTACIÓN FORAL DE GIPUZKOA - DEPARTAMENTO DE CUIDADOS Y POLÍTICAS SOCIALES
GRUPO UNIDIX
FUNDACIÓ PRIVADA HOSPITAL EVANGÈLIC - GRUP ASSISTENCIAL EVANGÈLIC
"FORTIA HEALTHCARE, S.L."
"ALSICO IBERIA, S.L."
"AZTERTZEN SERVICIOS ASISTENCIALES, S.L."
"ARTICULOS DE MENAJE PARA COLECTIVIDADES, S.L.  - AMC"
"PALAU DE CAN SUNYER, S.L."
SERVEI DE SALUT DE LES ILLES BALEARS - IB-SALUT
SERVICIO ANDALUZ DE SALUD (SAS)
GRUPO REIFS - ASISTENCIAL GERIÁTRICA
CLAROS S.C.A. DE INTERÉS SOCIAL
GRUPO CLÍNICAS MI
"CLÍNICA MADRID, S.A."
"CAUDEXMOBEL, S.L."
"INSTITUTOS ODONTOLÓGICOS (APOLLONIA TOPCO, S.L.)"
INSTITUTO FORAL DE BIENESTAR SOCIAL (DIPUTACIÓN DE ÁLAVA)
INSTITUTO NACIONAL DE GESTIÓN SANITARIA (INGESA)
"ASISTENCIA DENTAL ESPECIALIZADA, S.A. - (ADE GROUP)"
AGENCIA NAVARRA DE AUTONOMÍA Y DESARROLLO DE LAS PERSONAS
"DELTALAB, S.L.U."
AIR LIQUIDE HEALTHCARE ESPAÑA - GRUPO
"URTINSA SOCIOSANITARIO, S.L."
GRUPO IMQ SERVICIOS SANITARIOS
GRUPO CLINICA BOFILL
GRUPO LATORRE
GRUPO LABER HOSPITALES
"GESTIÓN RESIDENCIAS LAS VEGAS, S.L."
THREESTONES CAPITAL MANAGEMENT
"W.L. GORE Y ASOCIADOS, S.L."
"HILL-ROM IBERIA, S.L."
"ORTOTECSA, S.L."
"LINET IBERIA, S.L."
"SMYGROUP MANAGEMENT, S.L. (GRUPO)"
"OESÍA NETWORKS, S.L."
"SUMINISTROS MÉDICO QUIRÚRGICOS, S.A. - SURGIMEDIC"
"NEXUS ATENCION INTEGRAL, S.L. (EBORA TRAINING)"
"RESIDENCIA SERGECO, S.L. - GRUPO SERGECO"
INSTITUTO  ARAGONÉS DE SERVICIOS SOCIALES - IASS
"MEDICIP HEALTH, S.L."
"BIOMETA TECNOLOGÍA Y SISTEMAS, S.A."
"H.R. FUNGIBLES, S.L."
"CLÍNICA OPCIÓN MÉDICA, S.L."
"EQUIPO MÉDICO CRESPO, S.L."
"RERBAN, S.L."
"GLOLVI, S.L."
ASOCIACIÓN BIENESTAR Y DESARROLLO (ABD)
"CLÍNICA DE MEDICINA INTEGRAL DIAGONAL, S.L."
FUNDACIÓ INSTITUT GUTTMANN
"AVANTMEDIC PONENT, S.A."
"GESTIÓN INTEGRAL DE ASISTENCIA A MAYORES EXTREMEÑA, S.L. (GIAMEX)"
"ATENDO CALIDADE, S.L."
FUNDACIÓN DIAGRAMA
SUARA COOPERATIVA
GRUPO FB
TRONCOSO SERVICIOS SOCIOSANITARIOS (GRUPO)
"VISTASOL RESIDENCIAS, S.L."
"RESIDENCIA TERCERA EDAD PARQUELUZ, S.L."
"ENOC CORPORACIÓN GERIÁTRICA, S.L."
"RESIDENCIA LOS ÁLAMOS DE SANTA GEMMA, S.L."
DIRECCIÓN GENERAL DE SERVICIOS SOCIALES (LA RIOJA)
"PUENTE REAL SERVICIOS RESIDENCIALES PARA MAYORES, S.A."
"CLÍNICA GERIÁTRICA LOS ÁNGELES, S.L."
"RESIDENCIA GERIÁTRICA CALELLA MAR I SOL, S.L."
"RESIDENCIAL MASSGRELL, S.L."
"CENTRO DE MAIORES BARDELLA, S.L."
FUNDACIÓN VALDEGODOS
"GRUPO SERGESA, S.A. - GRUPO"
"RESIDENCIAS SANTOS, S.L."
AGENCIA MADRILEÑA DE ATENCIÓN SOCIAL (AMAS)
"RESIDENCIA ANCIANOS SAN JUAN DE DIOS, S.A.U."
"ARQUISOCIAL, S.L."
"INSTITUTO BERNABÉU, S.L."
"SERESGERNA, S.A."
"CROYCA, S.L. - GRUPO ALENA"
"IBÁÑEZ Y GARCÍA, S.L."
"AQUACONTROL ALTA TECNOLOGÍA SANITARIA, S.A."
"RECKITT BENCKISER HEALTHCARE, S.A."
"LABORATORIO ARAGÓ, S.L."
"ACUÑA Y FOMBONA, S.A."
"SARSTEDT, S.A.U."
"ELIS MANOMATIC, S.A.U."
"IVOCLAR VIVADENT, S.L.U."
HNA (ÁREA DE SEGUROS DE SALUD)
"KRAPE, S.A."
"SANITAS, S.A. DE SEGUROS"
"INCOTRON EYMASA, S.L."
"SISTEMAS TÉCNICOS ENDOSCÓPICOS, S.A."
MUTUA CESMA
"KALDEVI INGENIERÍA GERIÁTRICA, S.L."
"BORIS 45, S.A."
"CLINIMAX EQUIPAMIENTOS, S.L."
"TAPICERÍAS NAVARRO INTERNACIONAL, S.L."
"ORACHE DESINFECTION, S.L."
ARMISEN CARE SOLUTIONS S.L.
"CHRISTEYNS ESPAÑA, S.L."
"VITALIA PLUS, S.A. - GRUPO VITALIA HOME"
"TRAMEDIC, S.A."
"EMSOR, S.L"
