MUTUALIA
"RESIDENCIA NUEVA MATER DEI, S.C."
"REMEDIETS, S.L."
"SERVEIS ASSIST. CA N'ARNAUS, S.L."
"SEASCER, S.L."
FUNDACIO PRIVADA MUNICIPAL EMMA
"RESIDENCIA ALBORADA, S.L."
"RESIDENCIAS SOLYVIDA PARLA, S.L."
"HOTEL BEGOÑA, S.A. - DIVISIÓN GERIÁTRICOS"
CONSORCI MAR PARC SALUT 
"903 PROGERMA, S.L."
"G.R. GEROCAT, S.L."
"RESIDENCIA BALICA, S.L."
"MAYOREX, S.L."
FUNDACIO HOSPITAL DE L'ESPERIT SANT
"RESIDENCIAL INFANTE, S.L."
"RESIDENCIAL LOS PEÑASCALES, S.L."
"VITALIA ESTEPA, S.L."
"RESIDENCIA GERIATRICA EDELWEIS, S.L."
"CENTRO MÉDICO MAESTRANZA, S.A."
"UNION GERIÁTRICA ANDALUZA, S.L."
UTE VILA-SECA
"COMPAÑIA DE INVERSIONES Y SERVICIOS COMSER, S.L"
"INVERSIONES CASTILLA-LA MANCHA, S.A."
FUNDACIO ASIL DE GRANOLLERS
"SERVEIS SALUT INTEGRATS-BAIX EMPORDA,AIE"
"RESIDENCIAL AULAGA, S.L."
"IVI VIGO, S.L."
SANITAS RESIDENCIAL/FUNDACIÓN MEVEFARES
FUNDACIÓ SALUT EMPORDÀ
FUNDACIÓ HOSPITAL D'OLOT I COMARCAL DE LA GARROTXA
"CAXAR RESIDENCIAS DE INICIATIVA SOCIAL, S.C."
"RES. GERIATRICA BELLAS VISTAS, S.L."
"FONDA ORIENTAL DE LA RODA, S.L."
FUNDACIO HOSP. SANT PAU I SANTA TECLA
XARXA SANITARIA I SOCIAL SANTA TECLA
"ACTIVIDADES SANITARIAS DE ARAGON, S.L."
"RESIDENCIAS GERIÁTRICAS EXTREMEÑAS, S.L. (RESIGEX)"
"CALIDAD EN DEPENDENCIA PAS, S.L."
"NOVAEDAT PICAFORT, S.A. (GEROCLEOP)"
"ROFER 99, S.L."
"HOSPITAL RECOLETAS ZAMORA, S.L."
UDP UNION DEMOCRATICA DE PENSIONISTAS
"RESIDENCIA SANT JORDI, S.L."
"RESIDENCIA PARQUE TÍO JORGE, S.L."
ASOCIACION VOLUNTARIADO EN GERIATRIA
"DANA SERVEIS SOCIALS, S.L."
"CENTRO TERCERA EDAD CARMEN, S.L."
"GERONTES REMAR II, S.L."
HOSPITAL DE GESTIÓN INTERMUTUAL
"CLÍNICA LA SERENA, S.L."
"RES. 3ª EDAD ALMODOVAR DEL RIO, S.L.L."
"HOSPITAL PARDO DE ARAVACA, S.A."
"AMPARO CAMPS, S.L."
"RESIDENCIA ELIASOL, S.L."
FUNDACIÓN JIMENEZ DIAZ
"GRUPO GB RESIDENCIAS, S.A."
"RESILLAR, S.L."
"BERTENDONA ARZAK, S.L."
"CENTRO RESIDENCIAL SATISTEGUI, S.L."
"RESIDENCIA ANSOLA, S.L."
"RESIDENCIA SAGRADO CORAZON, S.L."
"HOGAR DEL ANCIANO SAN PANCRACIO, S.L."
"RES.TER.EDAD VIRGEN DE LA ESPERANZA, S.L."
"RESIDENCIA SAN COSME Y SAN DAMIAN, S.L."
"GARCIA-VILLAMIL, S.L."
"TRES HERMANAS 1999, S.L."
"GERIATRICOS DE CASTRILLON, S.L."
"GERIATRICO DOÑA ROSA, S.L."
"RESIDENCIA COMARCAL DE PERSONAS MAYORES, S.L."
"RESIDENCIA 3ª EDAD SANTIAGO APOSTOL, S.L."
"GESTIÓN GERIÁTRICA DEL PRINCIPADO DE ASTURIAS, S.A."
"GERIATRICO SAN ESTEBAN, S.A."
"RESIDENCIAL GENERAL, S.A."
"RESIDENCIA GERIÁTRICA LAS MAGNOLIAS, S.A."
"BIZI BERRIA, S.L."
"PORTAMAR RESIDENCIAL, S.L."
"GERIATRIC PALAFOLLS, S.L."
"RESIDENCIAL EL MOLINO, C.B."
"CASTELLANA GERIATRICA DE SERVICIOS, C.B."
"GESTIÓN GERIÁTRICO GRANADA, S.A."
"BELLAIRE, S.L."
"SOPHOS GESTIÓ, S.L."
"CENTRO SOCIOSANITARIO SIERRA DE GUARA, S.A."
"MIRAMAR DE CANET, S.L."
"CENTRO GERIATRICO GURE ETXEA, S.L."
"BEASKOA ELORRIAGA ETA IRIBAR, S.L."
"MOYANKO, S.L."
"ZORAGARRI, S.L."
"GERIATRICO AITZEA, S.L."
"RESIDENCIA GARAI 2000, S.L."
"FORUM DE INVERSIONES INMOBILIARIAS MARE NOSTRUM, S.A."
"RESIDENCIA NUEVA VIDA, S.A."
INSTITUT D'ASSISTENCIA SANITARIA
"ASISTENCIAL IBAÑETA, S.A. (AMMA)"
"ACTIVOS GERIATRICOS, S.L."
"RCH PROMOC. SIGUENZA RESIDENCIAL, S.L."
"CENTRO GERIATRICO SANTA MARIA, S.L."
"HOSPITAL GENERAL DE MURO, S.L."
"RESIDENCIA ASISTENCIAL CAMPOLAR, S.R.L."
FUNDACIÓN ALTHAIA
"EL PINAR DE LA HIGUERILLA ISA, S.L."
"SERVICIOS GERIÁTRICOS INDAUTXU, S.L."
"RESIDENCIA PLA DE MARTIS, S.L."
"RESIDENCIA GERIATRICA CATALUÑA, S.L."
CONSORCI SANITARI INTEGRAL (CSI)
"CORFALIN, S.L."
"ALAMEDA GRAN, S.L."
"MIGAESPACE, S.L."
MUT. DE PREV. SOCIAL DE LA POLICIA MUPOL
"LOS NOGALES, S.A."
"CENTRO RESIDENCIAL HORTALEZA, S.A."
"RESER MEDICALIZADAS, S.A."
"LUCUS RESIDENCIAL, S.L."
"ECOPLAR GRANADA, S.A."
"MD ANDERSON INTERNATIONAL ESPAÑA, S.A."
FUNDACIÓN SAN MARTIN
"RESIDENCIA JAIME II, S.L."
"PROMOCIÓN SOC. CASAR DE TALAMANCA, S.A."
"PROMOCIONES GERIATRICAS JUANPIL, S.L."
"RESIDENCIAL SENIOR 2000, S.L."
"CENTRO MÉDICO VIRGEN DE LA CARIDAD CARAVACA, S.L."
"PAGES ALEGRI, S.L."
CONSEJERÍA DE SALUD - GOBIERNO DE LA RIOJA
"CENTROS MÉDICOS SALUS CANARIAS, S.A."
"HOSPITEN ANDALUCIA, S.L."
"GERHOSTAL, S.L."
CAJA DE AHORROS DE SALAMANCA Y SORIA (CAJA DUERO) - DIVISIÓN GERIÁTRICOS
"SANYRES SUR, S.L."
"ASISTENCIAL VILLA DE BETELU, S.A. (AMMA)"
"GERIATENCION, S.L."
"STURM 2000, S.L."
"LA SALETA CARE, S.L. (GRUPO)"
"BOADILLA 95, S.A."
"VITALIA ECIJA, S.L."
"RIOSOL RESIDENCIAL, S.L."
"SANTOLARIA BRUSAU, S.L."
"CENTRO OSCENSE SERV.ASIST.TERC.EDAD, S.L."
"LATORRE MARTÍNEZ NAGIMENSE, S.L."
FUNDACIÓN NUESTRA SEÑORA DEL SAGRADO CORAZÓN
"ARFIS RESIDENCIAS TERCERA EDAD, S.L."
"VALERIANO PABLOS DELGADO, S.L."
S.COOP. GERIATRICA DE VITIGUDINO
"CENTRO ASISTENCIA MEDICO GERIATRICO, S.A."
"GERIÁTRICO CAOR, S.L."
"MAESTRO LASSALLE, S.L."
"SOGERASA, S.L."
"TAXUS SIERRA NORTE, S.L."
"ROLLE FERNANDEZ, S.L."
"MARTIN LIQUIÑANO, S.L."
"GRACESA, S.L."
"SILVIA BEATRIZ, S.L."
"RESIDENCIA VIRGEN DEL VALLE, S.L."
"RAMLIZ, S.A."
"TERCERA 2, S.L."
"G.A. VIRGEN DEL VALLE, S.L."
"GUARDO PROYECTO 2000, S.L."
"RESIDENCIA DE TERCERA EDAD VALDEREY, S.L."
S.A.MUNICIPAL DE GESTIO DE SANITAT I SE
"GRUPO EMPRESARIAL MARAZUELA, S.A."
"CENTRE SOCIO SANITARI DE BALAGUER, S.L."
"RESIDENCIA PARA LA TERCERA EDAD SANT ROC, S.A."
"CLINICA GUIMÓN, S.A."
"CLÍNICA NUESTRA SEÑORA DEL PILAR, S.A."
"REAL SOTILLO PARA MAYORES, S.A."
"YADINSA, S.A."
"LAS MAGNOLIAS, S.L."
"URDIEL, S.A."
"SERVICIOS INTEGRALES DE ATENCIÓN GERIÁTRICA, S.L."
"JARDIN DE GREDOS, S.A."
"RESIDENCIA DE ANCIANOS EL CASAR, S.L."
"VAZMASA, S.L."
"SERVICIOS GERIÁTRICOS TOLEDO, S.L."
"RESIDENCIAS GER.CASTILLA LA MANCHA, S.L."
"GESTIO SANIT. I ASSISTENC. DE TORTOSA, S.A."
SOCIEDAD ANÓNIMA DE PRODUCTOS DETERGENTES REUNIDOS 
"ANSELL SPAIN, S.L."
"SABADELL GENT GRAN CENTRE SERVEIS, S.A."
"PRODUCTOS CALTER, S.L."
OBRA DE MARÍA
"ENEQUIP SERVEIS INTEGRALS, S.L."
"GERIATRIC NOGUES, S.L."
"JARDINES DE VILLAFRANCA RESIDENCIA DE ANCIANOS, S.L."
GAZTAROA SARTU KOOP. ELKARTEA
"ATREDE 2022, S.L.  (GRUPO TAR 2022)"
"CENTRO DE MAYORES LA JARA, S.L."
"CEL URBÀ, S.L."
"RESIDENCIA GERIÁTRICA VILLA CLARA, S.L."
"ESTUDIO MÉDICO NAVARRO, S.L."
"RESIDENCIAL CASA DE CAMPO DE PERÍN, S.L."
"RESIDENCIA PASSEIG PRIM, S.L."
ASOCIACIÓN NUESTRA CASA LA GRANDE
FUNDACIÓN PRIVADA HOSPITAL PERE MARTIR COLOMES
FUNDACIÓ LA VALL
FUNDACIÓ RESIDENCIA GENT GRAN SANT ANTONI TÀRREGA
"SANJURJO & GONZÁLEZ ASOCIADOS, S.L."
FUNDACIÓ HÀBITAT3 TERCER SECTOR SOCIAL
"VITAL CENTRO TERCERA EDAD, S.L."
FUNDACIÓN CATALINA LABOURÉ
FUNDACIÓ PRIVADA ADESMA
FUNDACIÓN ASILO DE NUESTRA SEÑORA DE LOS REMEDIOS
"MARBORÉ GOYA ASISTENCIAL, S.L."
"LARGONZ, S.L."
"MARBORÉ ACTUR ASISTENCIAL, S.L"
"HOTEL RESIDENCIA HIJOS DE MAR, S.L."
"VIDALIA SERVICIOS SOCIOSANITARIOS, S.L."
"GERIÁTRICO VISTALEGRE, S.L."
"ALPADA, S.L."
"SERVICIOS RESIDENCIALES BELLAVISTA CARE, S.L."
"RESIDENCIA NIRE ETXEA, S.L."
"RESIDENCIA PARA MAYORES VIRGEN DEL CAMINO CAMPOS, S.L."
"DIARTE Y BARCINA, S.L."
"MULTIZONA MULTIPRODUCTO, S.L."
FUNDACIÓN EL MANDAMIENTO NUEVO
"SERVICIOS BIDASOA TERCERA EDAD, S.L."
"RESIDENCIA BERRIZ 1, S.L."
"S.G. SOS 2015, S.L."
"RESIDENCIA TERCERA EDAD SANTO DOMINGO, S.R.L."
"ASUBSOC, S.L."
"ANGRAOPA GRAÑEN, S.L."
"GERSALUD 2002, S.L.L."
"RESIDENCIA ESPECIALIZADA PARA MAYORES, S.A."
FUNDACIÓN PARA EL DESARROLLO LOCAL DE SANTO TOMÉ
FUNDACIÓN RESIDENCIA DE ANCIANOS SANTA BÁRBARA
"GERISALUD GESTIÓN, S.L."
"GOYA REAL ESTATE, S.L."
FUNDACIÓN ALBA
"LLAR AMIGÓ, S.L."
"KRISTEL RESIDENCIAL, S.L."
"SANT GERVASI PARADIS, S.L."
"RIBELFILL, S.L."
"DOMUS ASTRI, S.L."
"RESIDENCIA NIN, S.L."
"JARDI RESIDENCIAL TORRE MAGRET, S.L."
FUNDACIÓ PER A L'ATENCIÓ A PERSONES DEPENDENTS
"CAN CAMP RESIDENCIAL, S.L."
"XANEL CENTRE GERIATRIC, S.L."
"ALBERA BUSINESS, S.L."
"CENTRE TOT AVIS, S.L."
"RESIDENCIA TERCERA EDAD CENTRO DE DÍA CASTELL ARNAU ANAIS, S.L."
"TENELIVA, S.L."
"LLAR DE BENESTAR, S.L."
"L'HOSPITALET RPARK, S.L."
"ESSEN DESARROLLO EMPRESARIAL, S.L."
"RESIDENCIA EDAD D'OR MERCE, S.L."
"OLODUN, S.L."
"MAIBA ASISTENCIA, S.L."
ASOCIACIÓN LARLILÁS
ASISTENCIA GERIATRICA IRUÑA S.L.
"GESMEDICAL-DIS, S.L."
"LABORATORIOS GLOWER, S.A."
"ASDEN RESIDENCIA GERIÁTRICA, S.L."
"AJAM SERVICIOS INTEGRALES, S.L."
"RESIDENCIA ROSALBA, S.L."
FUNDACIÓ PRIVADA AGUSTÍ DE SANTACRUZ
"PROCOBRA, S.L."
JOAN KLEIN ROSEN
"IMERSIMA, S.L."
"RESIDENCIA GERIÁTRICA GAZTELU, S.L."
"CENTROS RESIDENCIALES MASKURIBAI, S.L."
"AITONA ETXEA, S.L. (GRUPO AITONA ETXEA)"
"RESIDENCIA ELORRI, S.L."
"CLÍNICA MÉDICA VILLALBA, S.A."
"CONTROL LIVE, S.L."
"RESIDENCIAL NUESTRA SEÑORA DE SETEFILLA , S.L."
RESIDENCIA DE ANCIANOS TRISTÁN S.COOP.
"HOGAR DE MAYORES EL PILAR, S.L."
"ROCA TENAS, S.L."
"IGBE 2, S.L."
"PROMOCIONES INMOBILIARIAS FUTURPALENCIA, S.L."
"GERONTOGAR, S.L."
"RESIDENCIA DE MAYORES VIRGEN DE BARBAÑO, S.L."
"DEVAXIA BUSINESS, S.L. (GRUPO TAR 2022)"
"LEPANT RESIDENCIAL QGG, S.L."
"CENTRE GERIATRIC DEL VALLES, S.A."
FUNDACIÓN SANTA MARÍA LA REAL DEL PATRIMONIO HISTÓRICO
"LIFE VASCULAR DEVICES BIOTECH, S.L. (IVASCULAR)"
"ALM UNIVASS, S.L."
"THE FLAG ESTEPONA 2019, S.L."
GRUPO VIDA (CENTROS MÉDICOS SALUS CANARIAS)
"SERVIGER 21, S.L. - GRUPO"
"MARTÍN CASILLAS GRUPO, S.L. - DIVISIÓN GERIÁTRICOS"
"SERVICIOS GERONTOLÓGICOS DEL NORTE, S.L."
"CLÍNICAS GINEMED, S.L."
"DECEM ASISNOVA, S.L. - NEUROCARE HOME"
"SANATORIO SAN JORGE, S.L."
"CIPERDE, S.L."
"CLÍNICA BARCELONETA, S.A. (GRUPO BLAUCLINIC)"
"FULL CREDIT, S.L"
"RESIDENCIAS ASISTIDAS, S.A."
"LOVI-97, S.L."
"ANTEPEYA 2002, S.L. (GRUPO JARDINES)"
"JARDINES DE EZTEBE, S.L. (GRUPO JARDINES)"
"RESIDENCIA JARDÍN SANTA ANA, C.B."
"ASPANIASMERC 2016, S.L.U."
"RESIDENCIAL PALACIO DE TIROCO, S.L."
"GEROVIDA, S.L."
OBRA SOCIAL BENÉFICA DE CASTELLLAR DEL VALLÉS
"LOS GUELITOS, S.L. "
RESIDENCIA PARA MAYORES EL ABADENGO S.L.
"PROMOCIONES GERILUX 2000, S.L. (GRUPO GAVINES)"
" DIEGO Y PABLO TRAVEL, S.L."
"CLINICA MEDICA CAMPOAMOR, S.L."
"PROMOCIONES MORGOITIO, S.L."
"PIMOSA SERVIZOS INTEGRAIS, S.L."
"LARDANAI GALICIA, S.L."
"RESIDENCIA GERIÁTRICA VISTAHERMOSA, S.L."
"RESIDENCIA BIZIA 2018, S.L."
"VERACRUZ PROPERTIES SOCIMI, S.A."
"GROUPE OMEGA ESPAÑA, S.L."
"CALIDA RESIDENCIAL, S.L."
"MEJORA RESIDENCIAL, S.L."
AYUNTAMIENTO DE HERRERUELA DE OROPESA
RESIDENCIA LOS ÁNGELES DEL PÁRAMO 
"AMELIA PIEDRAS MILLÁN, S.L."
ASOCIACIÓN DE FAMILIARES Y AMIGOS DE ENFERMOS DE ALZHEIMER DE ALCOY Y COMARCA
"RESIDENCIA MAR DE LEVANTE, S.L."
FUNDACIÓN ASILO HOSPITAL CHOLBI DE JÁVEA
"CENTROS RESIDENCIALES GREDOS, S.L."
ASOCIACIÓN CRISTO DE LOS REMEDIOS (ASOCRIS)
"BIENESTAR LLERENA, S.L."
"INSTITUT OFTALMOLÒGIC LASER VISIÓ, S.L."
"INSTITUTO BALEAR OFTALMOLÓGICO, S.L."
"TORRECHANTRE, S.L."
"SERVICIOS SOCIALES CLAROS CANARIAS, S.L."
"RESILLAR FRANQUICIA, S.L."
ANTONIO GALLEGO ONTALVA
ROSA MARÍA BENITEZ RAYA
"RESIDENCIA GERIATRICA REY PELAYO, S.L."
ASOCIACIÓN VENERABLE ORDEN TERCERA SAN FRANCISCO DE ASÍS 
FUNDACIÓ PUIGVERT
"ALBERTIA CENTROS GERONTOLOGICOS, S.L."
"ALBERTIA CAMPUS, S.L."
"CORMALIN, S.L."
"ACCENT SOCIAL, SL"
" CENTRO MEDICO Y DE REHABILITACION DOCTOR ROZALEN, S.L."
AYUNTAMIENTO DE LA FRONTERA
AYUNTAMIENTO MARIANA
AYUNTAMIENTO CAÑADA JUNCOSA
"CONSULTORIO MÉDICO SAN ROSENDO, S.L."
FUNDACIÓN BENÉFICA HOSPITAL JESÚS NAZARENO
"PEARCOR, S.L"
"TORREJÓN RUÍZ, S.L."
"RESIDENCIAL EL VALLE DE LAS PALAS, S.L."
"GEROCASTILLO, S.L."
HERMANOS DE SAN GABRIEL
"EL PINAR DE LANZAHITA, S.L."
"INUS REAL ESTATE, S.L."
FUNDACIÓN HOSPITAL ASILO NOSA SEÑORA DOS ANXOS
"SOLIDARIA GESTIÓN EMPRESARIAL, S.L."
"RESIDENCIA LOS JARDINES DE NAVAS, S.L."
"INAREJOS 2010, S.L."
"RESIDENCIA LA FLOR DEL CEREZO, S.L."
"TERUEL MARTINEZ ANTONIO, S.L."
"RESIDENCIA TORRE HORTELANO, S.L."
"SANTA AMALIA 9 STREET, S.L."
ASOCIACIÓN CENTRO ASISTENCIAL DE MELILLA
FUNDACIÓN ARANGOITI
"CLÍNICA ASTURIAS, S.A."
AYUNTAMIENTO DE VILLANUEVA DE LA SIERRA
FUNDACIÓN CANARIA FAMILIA QUESADA SÁNCHEZ
OBISPADO DE OURENSE
AYUNTAMIENTO DE CAÑADA DEL HOYO
AYUNTAMIENTO DE MONTAMARTA
"VELEZ TOMILLAR, S.L."
"RESIDENCIA VIRGEN DE ALCONADA, S.L."
"TRIORA ALICANTE, S.L."
"SOLSALUD RESIDENCIA DE MAYORES, S.L."
"CHACÓN 2008, S.L."
"TORREMOCHA SERVICIOS SOCIALES, S.L."
FUNDACIÓN DE ANCIANOS SANTA TERESA
"RESIDENCIA SIGMA SALUD, S.L."
AYUNTAMIENTO DE CASAS DE MILLÁN
"ILUNION FISIOTERAPIA Y SALUD, S.L."
"DINTESA DESARROLLOS INTEGRALES EXTREMEÑOS, S.L."
"LAGUNDUZ 2, S.L."
HERMANAS FRANCISCANAS MISIONERAS DE LA NATIVIDAD DE NUESTRA SEÑORA
CONGREGACIÓN FRANCISCANAS DE LOS SAGRADOS CORAZONES
CONGREGACIÓN DE ESCLAVAS DE LA VIRGEN DOLOROSA
CONGREGACIÓN SEGLARES SIERVOS DE LOS POBRES ENFERMOS DEL SANTO HOSPITAL NUESTRA SEÑORA DE GRACIA DE ZARAGOZA (HERMANDAD DE LA SOPA)
PADRES CARMELITAS
HERMANAS FRANCISCANAS DE LA NATIVIDAD DE NUESTRA SEÑORA
HERMANAS CARMELITAS DE SAN JOSÉ
COMUNIDAD RELIGIOSOS CAMILOS
"JUEZ Y GUERRA, S.L."
"DOMUS AUREA SERVICIOS PARA EL HOGAR, S.L."
"CLÍNICA LA LUZ, S.L."
"RESIDENCIAL BALNEARIC TALAIA BLANCA, S.L."
FUNDACIÓN ASILO DE ANCIANOS SANTO DOMINGO Y SANTA ELOÍSA
CLÍNICA GALATEA
MISIONERAS DOMINICAS DEL ROSARIO
DIÓCESIS DE ASTORGA
INSTITUTO SECULAR OBRERAS DE LA CRUZ
HERMANAS FRANCISCANAS HOSPITALARIAS DE LA INMACULADA CONCEPCIÓN
FUNDACIÓN RESIDENCIA DE MAYORES SAN CLEMENCIO
CONGREGACIÓN MADRES DE DESAMPARADOS Y SAN JOSÉ DE LA MONTAÑA
ASOCIACIÓN AMIGOS DE LOS ANCIANOS NUESTRA SEÑORA DEL BUENSUCESO DE CASTUERA
HERMANAS CARMELITAS DE LA CARIDAD
HERMANITAS DE LOS POBRES DE SAN PEDRO CLAVER
PARROQUIA DE SANTIAGO APÓSTOL
PARROQUIA SAN JUAN BAUTISTA
ASOCIACIÓN BENÉFICO SOCIAL SAN SEBASTIÁN
"TRONCOSO SERVICIOS SOCIOSANITARIOS, S.L."
"GRUPO ANDAMARC, S.L."
CONSORCI SOCIAL I ASSISTENCIAL DE PARETS DEL VALLÈS
"GRUPO REACTEDA, S.L."
GESTIÓ DE SERVEIS SANITARIS (GSS)
"VERSA ASESORES, S.L.-GESAN- "
GERHOTEL SERVICIOS GERONTOLÓGICOS
FUNDACIÓN ANDURIÑA
HERMANAS DEL SAGRADO CORAZÓN Y DE LOS SANTOS ÁNGELES 
"PRO MAIOREM BAHÍA, S.L."
"APRENDE A VIVIR, S.L."
"BUSALCO, S.L."
"LA LLAR DEL BISAURA, S.L."
"ASISTENCIA GERIÁTRICA VEGA SAN JUAN, S.L."
CONSORCI SANITARI DEL GARRAF
"ACLACAR 2006, S.L."
"GERIACYL, S.L."
"GERIALBA 2008, S.L."
"LUANCO CENTRO GERIÁTRICO, S.L."
"SSR HESTIA, S.L."
FUNDACIÓN RESIDENCIAL D'AVIS LA POBLA DE LILLET
FUNDACIÓN RESIDENCIA ANCIANOS MARANATHA
FUNDACIÓN BENÉFICA NICOLÁS DOMINGO ARROTEGUI
FUNDACIÓN HOSPITAL ASILO NTRA. SRA. DESAMPARADOS
FUNDACIÓN STO.HOSPICIO Y ASILO DE LA CARIDAD
FUNDACIÓN MARÍA ÁLVAREZ DE EULATE
F.B.S.H.A.STO CRISTO DE LOS REMEDIOS
FUNDACIÓN CARLOTA PEREZ GARCIA
FUNDACIÓN NICOLAS RODRIGUEZ
FUNDACIÓN RESIDENCIA ANCIANOS SAN JOSÉ
CENTRO DE ATENCIÓN A PERSONAS MAYORES Y DEPENDIENTES DE CARTAYA S.C.A. I.S.
CONSORCI SOCIOSANITARI DE MENORCA
FUNDACIÓ PRIVADA DE L'HOSPITAL DE LA SANTA CREU I SANT PAU
"CAJA DE AHORROS Y MONTE DE PIEDAD DE ZARAGOZA, ARAGÓN Y LA RIOJA - DIVISIÓN GERIÁTRICOS DE IBERCAJA"
"RESIDENCIA AMEIXOA, S.L."
"HAIZE ONAK, S.L."
"RESIDENCIA IRABEL, S.L."
FUNDACIÓN RESIDENCIA VIRGEN DEL CARMEN
FUNDACIÓN LAS BODEGAS
FUNDACIÓN DOÑA MARÍA (FUNDOMAR)
FUNDACIÓN RESIDENCIA ANCIANOS SAN MIGUEL
FUNDACIÓN HOSPITAL ALMAU
FUNDACIÓN RESIDENCIA DE ANCIANOS VIRGEN DE GRACIA
FUNDACIÓN HOSPITAL PURISIMA CONCEPCION
FUNDACIÓN GRACIA Y PAZ
FUND. HOSP. GRAL. SANTISIMA TRINIDAD
FUNDACIÓN CARITATIVA TERCERA EDAD ARCIPRESTAZGO RUZAFA
FUNDACIO PRIVADA CAN CODINA
"ASISTENCIA GERIATRICA ANZU, S.L."
"CENTRO GERIÁTRICO CAMPODÓN, S.A."
FUNDACIÓN SANTA MARIA DE GRACIA
"ALBASA GERIÁTRICOS, S.L."
AYUNTAMIENTO DE BUDIA
CONSORCI HOSPITALARI DE VIC
"ANAI CANTERO, S.L."
"ROMERO Y LOSADA RESIDENCIAS DE MAYORES, S.L."
"VUESTRA CASA RESIDENCIA, S.L."
"RESIDENCIA 3A EDAD SAGRADA FAMILIA, S.L."
FUNDACIÓN MIYAR SOMONTE
FUNDACIÓN TEJADA DE LA SANTA CARIDAD
"GENTILIS GRUP, S.L."
"CLINICA BAVIERA MALLORCA, S.L."
"NATAL Y VIDALES, S.L."
"INVER-GER GALICIA, S.L."
"LAS FUENTES DE PEDREZUELA, S.L."
"SDAD. INVERSORA EN VIVIENDA Y APARTAMENTOS TUTELADOS, S.A."
"RESIDENCIAL FARDES, S.L."
"RESIDENCIA Y ATENCION SOCIAL, S.L."
"INDASALUD, S.L."
FUNDACIÓN BENÉFICA VIRGEN DE LOS CABALLEROS
"INVERSIONES SIERO, S.L."
FUNDACIÓN BENÉFICA ASISTENCIAL LA TABLADA
FUNDACIÓN BENÉFICA ASISTENCIAL ALBERTO ACITORES
FUNDACIÓN PRIVADA ASIL INGLADA VIA
"RESIDENCIA ESPLUGUENSE, S.L."
"ADULT PROTECT, S.L."
"OLESA 94, S.L."
"LLAR SANT LLORENÇ, S.L."
"MASIA VENTAYOL, S.L."
"CENTRE RESIDENCIAL MONTFELS, S.L."
"RES. PER A GENT GRAN VELLAMAR, S.L."
CRUZ ROJA ESPAÑOLA-DIVISION RESIDENCIAS
"LLAR DE RESIDENCIA D'AVIS LA PALMA, S.L."
FUNDACIÓN ROMERO BLANCO MONROY
FUNDACIÓN HERMANOS PRIETO
FUNDACIÓN SANCTI SPIRITUS Y SANTA ANA
FUNDACIÓN RESIDENCIA NTRA. SRA. DE LAS MERCEDES
REAL ASOCIACIÓN DE HIDALGOS DE ESPAÑA
"GERIPLUS, S.L."
"GERIATRIC DEL MOIANES, S.L."
"RESIDENCIA GERIATRICA STAR, S.L."
"HOGAR LA SALUD, S.L."
FUNDACIÓN INMACULADA CONCEPCIÓN
FUNDACIÓN RESIDENCIA ANCIANOS GUADARRAMA S. MIGUEL ARCÁNGEL
F.P.CASAL ASIT.BENF. VELLS PUIG REIG
FUNDACIÓN VIZCAÍNA DE CARIDAD
FUNDACIÓN HOGAR BECEÑA GONZALEZ
ASOCIACIÓN BENÉFICO SOCIAL EL SALVADOR
SANTA Y REAL CASA DE MISERICORDIA
ASOCIACIÓN URGATZI PARA LA PROMOCION DE BIENESTAR
FUNDACIÓN SAN JOSE ETXE ALAI
FUNDACIÓN CASA AMPARO DE BARBASTRO
FUNDACIÓN CASA ASILO DE POBRES
FUNDACIÓN PERE BADÍA
FUNDACIÓN MARTÍNEZ TERESA Y RUIZ
"IMADAL ASISTENCIA, S.L."
"CIA GRAL.RESID.PERSONAS MAYORES, S.L."
"RESIDENCIA GERIATRICA PINYANA, S.L."
"PALATIO MARIS, S.L."
"CALAFELL PARK RESIDENCIAL, S.L."
"GERIFAS 98, S.L."
"LA ALZINA DE LOS ANGELES, S.L."
"RESIDENCIA VILLA DE SÁDABA, S.L."
RESIDENCIA CENTRO DE DIA ARTES S.L.
"NUEVA SOLUCION GERIATRICA, S.L."
"GERIATRICOS LUCENSES, S.L."
"VITALIA OROEL, S.L."
"EXPLOTACIONES Y SERVICIOS SOCIO-SANITARIOS, S.L."
"RESIDENCIA BIMBILES, S.C."
FUNDACIO HOSPITAL SANT PERE
"TORREBLANCA NOVA LLAR, S.L."
"LOS CISNEROS DE YELES, S.L."
"ESTRELLA DEL CARMEN, S.L."
"CENTRE GERIATRIC MARACAVI, S.L."
"ASISTENCIA GERIATRICA SALMANTINA, S.L."
"LOVIDEMA, S.L."
ALBAICÍN SOC. COOPERATIVA
FUNDACIÓN BENÉFICA STA. MARÍA ESPEJO DE JUSTICIA
CONSORCI SANITARI DE L'ANOIA  
FUNDACIÓN PUBLICA SANITARIA (FPS)
"LUZ DEL SUR GERIATRICOS, S.L.L."
"MUTUAL DE INVERSIONES, S.A."
"SUMAVIDA, S.A."
"GESTIÓN PROFESIONAL DE SERVICIOS SOCIOSANITARIOS Y EDUCATIVOS, S.L."
CONSORCI SANITARI DE L'ALT PENEDES
"RESIDENCIA SANTAMARIÑE, S.L."
"CIUDAD RESIDENCIAL ATSOA, S.L."
"ALDEAS BETANIA, S.L."
"RESID. VIRGEN DEL CARMEN LA LINEA, S.L."
