"BRICOINSA, S.L."
"VERESCENCE LA GRANJA, S.L."
"VIUDA DE RAFAEL ESTEVAN GIMÉNEZ, S.L."
"PRODUCTOS Y SISTEMAS APLICADOS, S.A. (PROSISTEMAS)"
"FOMENTO Y GESTIÓN, S.A. (FOGESA)"
"SUMINISTROS FÉRREOS PARA ALMACENISTAS, S.A."
"SUMINISTROS PRIEGO, S.L."
"ALMACÉN GENERAL DE SIDERÚRGICAS, S.A."
"FEGIME ESPAÑA, S.A."
"KILOUTOU ESPAÑA, S.A."
"VEOLIA WATER SYSTEMS IBÉRICA, S.L."
"SAMSUNG ELECTRONICS IBERIA, S.A. - DIVISIÓN AIRE"
"ALUGOM MADRID, S.A."
"CONSULTRANS, S.A. "
"ESTUDIO LAMELA, S.L."
"CEMENTOS Y MORTEROS DEL CENTRO, S.L."
"PERFILADOS DEL NORTE, S.A. (PERFINOR)"
"NOUSUMAPE, S.A."
"SUMINISTROS ELÉCTRICOS Pº DE LA DIRECCIÓN, S.L."
"TVITEC SYSTEM GLASS, S.L."
COPROVEN - GRUPO
"IBERGROUP 2005 EMPRESARIAL, S.L."
REDIMA IBÉRICA - GRUPO
"GUNNI TRENTINO HOME, S.L."
"COMERCIAL COSMOS SUR, S.L."
"UNYCO (CEMENCROSS, S.L.)"
"NUEVA ALAPLANA, S.L."
"VILLAVIÑAS, S.L."
"EXLABESA BUILDING SYSTEMS, S.A.U."
"FONSÁN-GESTIÓN Y CONSTRUCCIÓN, S.L."
"TARRACO EMPRESA CONSTRUCTORA, S.L."
"NORTON EDIFICIOS INDUSTRIALES, S.A."
"CONSTRUCCIONES LLULL SASTRE, S.A."
"JOAQUÍN PÉREZ ARROYO, S.L."
"OBRAS Y PROYECTOS AGUIRRE, S.L."
"ROMA INFRAESTRUCTURES I SERVEIS, S.A."
"PROYECTOS Y REHABILITACIONES KALAM, S.A."
"CONSTRUCCIONES HERMANOS GARBAYO CHIVITE, S.L."
"TETRIS ARQUITECTURA, S.L.U."
"DESARROLLA OBRAS Y SERVICIOS, S.L."
"INDUSTRIAS METÁLICAS ANRO, S.L."
"CIMENTS DE CATALUNYA, S.A."
"PROMOCIONES OCEC, S.A."
"SUMINISTROS ELÉCTRICOS COTO, S.L. (COTO)"
"TALLERES Y GRÚAS ESTACIÓN, S.L."
"ARCELORMITTAL CONSTRUCCIÓN ESPAÑA, S.L."
"CONSTRUCCIONES DE LAS CONDUCCIONES DEL SUR, S.A.U. (COTRONIC)"
GS INIMA ENVIRONMENT - GRUPO
"GCI CENTRAL DE COMPRAS INDUSTRIALES Y SERVICIOS, S.L."
"SERVICIOS PROFESIONALES PARA COLECTIVOS, S.A. (SERPROCOL)"
"RANDAL EUROPEA, S.A."
"SERVICIOS INTEGRALES DE MANTENIMIENTO ALGA, S.L."
"MANTENIMIENTO Y MONTAJES INDUSTRIALES, S.A. (MASA)"
"MOMENTUM REAL ESTATE, S.L."
"CENTRAL DE COMPRAS Y SERVICIOS DE FERRETERÍA NCC, S.L."
"PROLOGIS SPAIN MANAGEMENT, S.L."
MANUSA - GRUPO
"STRUGAL 4, S.L."
"SERVICIOS Y SUMINISTROS AUXITEC, S.L."
"SOMFY ESPAÑA, S.A."
"GRUPO SATOCAN, S.A."
"CABLENA, S.A."
"BOSCH SERVICE SOLUTIONS, S.A.U."
"FERGARCÍA, S.A."
"SUPPLAID SUBMINISTRAMENT ASSITIT, S.L."
"METALUX ASTURIAS, S.L."
"CENTRAL ALMACENES SANEAMIENTO, S.L. (CEALSA)"
"SAINZ ALLENDE, S.L."
"ARDEX CEMENTO, S.A."
"ALQUILER DE MAQUINARIA RENTAIRE, S.A."
"FANAIR, S.L."
"ENERGEA SERVICIOS Y MANTENIMIENTO, S.L."
"TUBOS PARIS, S.A."
"SACLIMA SOLAR FOTOVOLTAICA, S.L."
"ALTERNATIVAS RIOJANAS EÓLICAS Y SOLARES, S.L."
"ELCOM AIR VALENCIA, S.L."
"ENERFUER, S.L. (IDEAL BRICOLAJE)"
"FERRECAL, S.A."
"VEOLIA SERVICIOS NORTE, S.A."
"CALES PASCUAL, S.L."
"FERROS AGUSTÍ 1876, S.L. (FERROS MANXA)"
"HIERROS VARELA URBIETA, S.L."
"ALUVAL, S.L."
"PUERTAS ROPER, S.L."
"PONTEGADEA INMOBILIARIA, S.L."
"BRICO GROUP INTEGRAL EUROPA, S.L. (BRICOGROUP)"
"PENTRILO, S.L."
"MARCA PROTECCION LABORAL, S.L."
"ESTUDIO DE ARQUITECTURA ALONSO BALAGUER, S.L."
ROBERT BOSCH ESPAÑA - DIVISIÓN BOSCH HOME COMFORT
"NORTÚNEL, S.A."
"AMADO SALVADOR, S.A."
